Ár;Leikmaður;Lið;Sofascore-einkunn;Mörk;Stoðsendingar;Mörk + stoðsendingar;Mörk úr vítum;Mínútur á mark;Skot í leik;Skot á mark í leik;Heppnaðar sendingar í leik;Lykilsendingar í leik;Heppnaðar langsendingar í leik;Heppnuð knattrök í leik;Hreinsanir í leik;Gul spjöld;Rauð spjöld;Varin skot í leik;Fengin mörk í leik (flest);Fengin mörk í leik (fæst);Hrein lök;Víti tekin;Heppnaðar sendingar (%);Heppnuð knattrök (%);Sofascore ID;Leikmannssíða
2023;Kjartan Kári Halldórsson;FH Hafnarfjörður;;;;;;;;;;0.8;;;;;;;;;;;;;1049414;https://www.sofascore.com/football/player/kjartan-kari-halldorsson/1049414
2023;Kjartan Mar Kjartansson;Stjarnan Garðabær;;;;;;;;;;;;;;5;;;;;;;;;1387350;https://www.sofascore.com/football/player/kjartan-mar-kjartansson/1387350
2023;Klæmint Olsen;Breidablik Kópavogur;;6;;7;;205;1.4;0.7;;;;;;;;;;;;;;;883868;https://www.sofascore.com/football/player/klaemint-olsen/883868
2023;Kristijan Jajalo;KA Akureyri;;;;;;;;;;;;;;;;3.5;1.9;1.9;1;;;;94812;https://www.sofascore.com/football/player/kristijan-jajalo/94812
2023;Kristinn Freyr Sigurðsson;Valur Reykjavík;7.19;;;;;;;;34.4;1.2;;1.5;;7;;;;;;;84;51;64423;https://www.sofascore.com/football/player/kristinn-freyr-sigursson/64423
2023;Kristinn Jónsson;KR Reykjavík;7.18;;5;8;;;;;;1.1;;1.8;;;;;;;;;;55;64384;https://www.sofascore.com/football/player/kristinn-jonsson/64384
2023;Kristján Flóki Finnbogason;KR Reykjavík;;4;;;2;261;1.2;;;;;;;;;;;;;2;;;187019;https://www.sofascore.com/football/player/kristjan-floki-finnbogason/187019
2023;Leifur Andri Leifsson;HK Kópavogur;;;;;;;;;42.3;;6.5;;3.2;6;;;;;;;84;;862431;https://www.sofascore.com/football/player/leifur-andri-leifsson/862431
2023;Logi Hrafn Róbertsson;FH Hafnarfjörður;;;;;;;;;;;3.4;;2.9;;;;;;;;;;997231;https://www.sofascore.com/football/player/robertsson-logi-hrafn/997231
2023;Logi Tomasson;Víkingur Reykjavík;7.61;;3;;;;1.3;;33.9;1;3.1;2.1;2.2;6;;;;;;;79;66;858266;https://www.sofascore.com/football/player/logi-tomasson/858266
2023;Luke Rae;KR Reykjavík;;;;;;244;;;;;;1.4;;;;;;;;;;71;1121253;https://www.sofascore.com/football/player/luke-rae/1121253
2023;Magnus Thordarson;Fram Reykjavík;;;3;;;;;;;1;;1.3;;;;;;;;;;56;960300;https://www.sofascore.com/football/player/magnus-thordarson/960300
2023;Mar Aegisson;Fram Reykjavík;;;;;;;;;;;;1.8;;;;;;;;;;55;933199;https://www.sofascore.com/football/player/mar-aegisson/933199
2023;Marciano Aziz;HK Kópavogur;;;;;;;;;;0.8;;;;;;;;;;;;;923979;https://www.sofascore.com/football/player/marciano-aziz/923979
2023;Mathias Rosenørn;Keflavík IF;7.22;;;;;;;;;;;;;;;3.8;2;2;4;;;;243061;https://www.sofascore.com/football/player/mathias-rosenorn/243061
2023;Matthías Vilhjálmsson;Víkingur Reykjavík;;5;;6;;333;;0.6;;;;;;;;;;;;;;;25122;https://www.sofascore.com/football/player/matthias-vilhjalmsson/25122
2023;Muhamed Alghoul;Keflavík IF;;;2;;;;;;;;;;;;;;;;;;;;793696;https://www.sofascore.com/football/player/muhamed-alghoul/793696
2023;Nacho Heras;Keflavík IF;;;;;1;;;;;;;;2.5;;;;;;;1;;;900479;https://www.sofascore.com/football/player/nacho-heras/900479
2023;Nikolaj Hansen;Víkingur Reykjavík;7.25;12;3;15;1;157;1.6;0.8;;;;;;5;;;;;;1;;;193640;https://www.sofascore.com/football/player/nikolaj-hansen/193640
2023;Nikulás Val Gunnarsson;Fylkir Reykjavík;;4;;;;;;;;;;;;;;;;;;;;;1025999;https://www.sofascore.com/football/player/nikulas-val-gunnarsson/1025999
2023;Olav Oby;KR Reykjavík;;;;;;;;;;;2.3;;;5;;;;;;;;;179157;https://www.sofascore.com/football/player/olav-oby/179157
2023;Oleksii Kovtun;Keflavík IF;;;;;;;;;;;;;3;5;;;;;;;;;601124;https://www.sofascore.com/football/player/oleksii-kovtun/601124
2023;Oliver Ekroth;Víkingur Reykjavík;7.28;;;;;;;;51.2;;4.2;;3.2;;;;;;;;88;;809295;https://www.sofascore.com/football/player/oliver-ekroth/809295
2023;Oliver Heidarsson;ÍBV Vestmannaeyjar;;;3;;;;1.5;0.6;;0.9;;2;;5;;;;;;;;51;933908;https://www.sofascore.com/football/player/oliver-heidarsson/933908
2023;Oliver Sigurjonsson;Breidablik Kópavogur;;;;;;;;;33.5;;;;;5;;;;;;;84;;135627;https://www.sofascore.com/football/player/oliver-sigurjonsson/135627
2023;Oliver Stefánsson;Breidablik Kópavogur;;;;;;;;;;;;;;;1;;;;;;;;959731;https://www.sofascore.com/football/player/oliver-stefansson/959731
2023;Orri Hrafn Kjartansson;Valur Reykjavík;;;;;;295;;;;;;;;;;;;;;;;;933204;https://www.sofascore.com/football/player/orri-hrafn-kjartansson/933204
2023;Orri Sigurjonsson;Fram Reykjavík;;;;;;;;;;;2.3;;3.1;5;;;;;;;;;234682;https://www.sofascore.com/football/player/orri-sigurjonsson/234682
2023;Orri Sveinn Stefánsson;Fylkir Reykjavík;7.24;5;;;;;;;42.6;;4.1;;5;;;;;;;;84;;797520;https://www.sofascore.com/football/player/orri-sveinn-stefansson/797520
